Alloy_name,phases,Hardness,Al,Co,Cr,Cu,Fe,Mn,Ni,V,Nb
Al23.8Co5Cr23.8Fe23.8Ni23.8,unk,550,23.8,5,23.8,0,23.8,0,23.8,0,0
Al22.5Co10Cr22.5Fe22.5Ni22.5,unk,539,22.5,10,22.5,0,22.5,0,22.5,0,0
Al16.7Co33.3Cr16.7Fe16.7Ni16.7,unk,532,16.7,33.3,16.7,0,16.7,0,16.7,0,0
Al23.8Co23.8Cr5Fe23.8Ni23.8,unk,438,23.8,23.8,5,0,23.8,0,23.8,0,0
Al22.5Co22.5Cr10Fe22.5Ni22.5,unk,476,22.5,22.5,10,0,22.5,0,22.5,0,0
Al21.3Co21.3Cr15Fe21.3Ni21.3,unk,510,21.3,21.3,15,0,21.3,0,21.3,0,0
Al16.7Co16.7Cr33.3Fe16.7Ni16.7,unk,617,16.7,16.7,33.3,0,16.7,0,16.7,0,0
Al25Co25Cr25Ni25,unk,712,25,25,25,0,0,0,25,0,0
Al23.8Co23.8Cr23.8Fe5Ni23.8,unk,665,23.8,23.8,23.8,0,5,0,23.8,0,0
Al22.5Co22.5Cr22.5Fe10Ni22.5,unk,587,22.5,22.5,22.5,0,10,0,22.5,0,0
Al21.3Co21.3Cr21.3Fe15Ni21.3,unk,558,21.3,21.3,21.3,0,15,0,21.3,0,0
Al16.7Co16.7Cr16.7Fe33.3Ni16.7,unk,510,16.7,16.7,16.7,0,33.3,0,16.7,0,0
Al15Co28.3Cr28.3Fe28.3,unk,655,15,28.3,28.3,0,28.3,0,0,0,0
Al20Co26.7Cr26.7Fe26.7,unk,695,20,26.7,26.7,0,26.7,0,0,0,0
Al40Co20Cr20Fe20,unk,775,40,20,20,0,20,0,0,0,0
Al5.7Co18.9Cr18.9Cu18.9Fe18.9Ni18.9,unk,185,5.7,18.9,18.9,18.9,18.9,0,18.9,0,0
Al13.8Co17.2Cr17.2Cu17.2Fe17.2Ni17.2,unk,273,13.8,17.2,17.2,17.2,17.2,0,17.2,0,0
Al20.6Co15.9Cr15.9Cu15.9Fe15.9Ni15.9,unk,475,20.6,15.9,15.9,15.9,15.9,0,15.9,0,0
Al26.5Co14.7Cr14.7Cu14.7Fe14.7Ni14.7,unk,558,26.5,14.7,14.7,14.7,14.7,0,14.7,0,0
Al23.1Co15.4Cr15.4Cu15.4Fe15.4Ni15.4,unk,510,23.1,15.4,15.4,15.4,15.4,0,15.4,0,0
Al31.5Co13.7Cr13.7Cu13.7Fe13.7Ni13.7,unk,603,31.5,13.7,13.7,13.7,13.7,0,13.7,0,0
Al33.3Co13.3Cr13.3Cu13.3Fe13.3Ni13.3,unk,625,33.3,13.3,13.3,13.3,13.3,0,13.3,0,0
Al35.9Co12.8Cr12.8Cu12.8Fe12.8Ni12.8,unk,655,35.9,12.8,12.8,12.8,12.8,0,12.8,0,0
Al37.5Co12.5Cr12.5Cu12.5Fe12.5Ni12.5,unk,735,37.5,12.5,12.5,12.5,12.5,0,12.5,0,0
Al2.4Co24.4Cr24.4Fe24.4Ni24.4,unk,118,2.4,24.4,24.4,0,24.4,0,24.4,0,0
Al9.1Co22.7Cr22.7Fe22.7Ni22.7,unk,127,9.1,22.7,22.7,0,22.7,0,22.7,0,0
Al14.9Co21.3Cr21.3Fe21.3Ni21.3,unk,338,14.9,21.3,21.3,0,21.3,0,21.3,0,0
Al16.7Co20.8Cr20.8Fe20.8Ni20.8,unk,382,16.7,20.8,20.8,0,20.8,0,20.8,0,0
Al18.4Co20.4Cr20.4Fe20.4Ni20.4,unk,527,18.4,20.4,20.4,0,20.4,0,20.4,0,0
Al23.1Co19.2Cr19.2Fe19.2Ni19.2,unk,479,23.1,19.2,19.2,0,19.2,0,19.2,0,0
Al31Co17.2Cr17.2Fe17.2Ni17.2,unk,482,31,17.2,17.2,0,17.2,0,17.2,0,0
Al14.3Co42.9Cu14.3Fe14.3Ni14.3,unk,166,14.3,42.9,0,14.3,14.3,0,14.3,0,0
Al20Co20Cu20Fe20Ni20,unk,536,20,20,0,20,20,0,20,0,0
Al23.8Co4.8Cu23.8Fe23.8Ni23.8,unk,531,23.8,4.8,0,23.8,23.8,0,23.8,0,0
Al22.2Co11.1Cu22.2Fe22.2Ni22.2,unk,545,22.2,11.1,0,22.2,22.2,0,22.2,0,0
Al18.2Co27.3Cu18.2Fe18.2Ni18.2,unk,366,18.2,27.3,0,18.2,18.2,0,18.2,0,0
Al16.7Co33.3Cu16.7Fe16.7Ni16.7,unk,249,16.7,33.3,0,16.7,16.7,0,16.7,0,0
Al5.9Co23.5Cr23.5Fe23.5Ni23.5,unk,110,5.9,23.5,23.5,0,23.5,0,23.5,0,0
Al8.6Co22.9Cr22.9Fe22.9Ni22.9,unk,131,8.6,22.9,22.9,0,22.9,0,22.9,0,0
Al15.8Co21.1Cr21.1Fe21.1Ni21.1,unk,388,15.8,21.1,21.1,0,21.1,0,21.1,0,0
Al17.9Co20.5Cr20.5Fe20.5Ni20.5,unk,538,17.9,20.5,20.5,0,20.5,0,20.5,0,0
Al23.8Co19Cr19Fe19Ni19,unk,487,23.8,19,19,0,19,0,19,0,0
Al3.8Cr19.2Cu19.2Fe19.2Ni38.5,unk,162,3.8,0,19.2,19.2,19.2,0,38.5,0,0
Al5.7Cr18.9Cu18.9Fe18.9Ni37.7,unk,170,5.7,0,18.9,18.9,18.9,0,37.7,0,0
Al7.4Cr18.5Cu18.5Fe18.5Ni37,unk,200,7.4,0,18.5,18.5,18.5,0,37,0,0
Al9.1Cr18.2Cu18.2Fe18.2Ni36.4,unk,238,9.1,0,18.2,18.2,18.2,0,36.4,0,0
Al10.7Cr17.9Cu17.9Fe17.9Ni35.7,unk,278,10.7,0,17.9,17.9,17.9,0,35.7,0,0
Al12.3Cr17.5Cu17.5Fe17.5Ni35.1,unk,290,12.3,0,17.5,17.5,17.5,0,35.1,0,0
Al13.8Cr17.2Cu17.2Fe17.2Ni34.5,unk,315,13.8,0,17.2,17.2,17.2,0,34.5,0,0
Al15.3Cr16.9Cu16.9Fe16.9Ni33.9,unk,339,15.3,0,16.9,16.9,16.9,0,33.9,0,0
Al16.7Cr16.7Cu16.7Fe16.7Ni33.3,unk,392,16.7,0,16.7,16.7,16.7,0,33.3,0,0
Al19.4Cr16.1Cu16.1Fe16.1Ni32.3,unk,521,19.4,0,16.1,16.1,16.1,0,32.3,0,0
Al23.1Cr15.4Cu15.4Fe15.4Ni30.8,unk,546,23.1,0,15.4,15.4,15.4,0,30.8,0,0
Al24.2Cr15.2Cu15.2Fe15.2Ni30.3,unk,550,24.2,0,15.2,15.2,15.2,0,30.3,0,0
Al26.5Cr14.7Cu14.7Fe14.7Ni29.4,unk,544,26.5,0,14.7,14.7,14.7,0,29.4,0,0
Al28.6Cr14.3Cu14.3Fe14.3Ni28.6,unk,567,28.6,0,14.3,14.3,14.3,0,28.6,0,0
Al30.6Cr13.9Cu13.9Fe13.9Ni27.8,unk,576,30.6,0,13.9,13.9,13.9,0,27.8,0,0
Al33.3Cr13.3Cu13.3Fe13.3Ni26.7,unk,593,33.3,0,13.3,13.3,13.3,0,26.7,0,0
Al20Cr20Cu20Fe20Ni20,unk,479,20,0,20,20,20,0,20,0,0
Al21.7Cr21.7Cu21.7Fe21.7Ni13,unk,494,21.7,0,21.7,21.7,21.7,0,13,0,0
Al20.8Cr20.8Cu20.8Fe20.8Ni16.7,unk,486,20.8,0,20.8,20.8,20.8,0,16.7,0,0
Al19.2Cr19.2Cu19.2Fe19.2Ni23.1,unk,408,19.2,0,19.2,19.2,19.2,0,23.1,0,0
Al18.5Cr18.5Cu18.5Fe18.5Ni25.9,unk,370,18.5,0,18.5,18.5,18.5,0,25.9,0,0
Al16.7Co16.7Cr16.7Cu8.3Fe16.7Ni25,unk,358,16.7,16.7,16.7,8.3,16.7,0,25,0,0
Al20Co20Cr20Cu10Fe10Ni20,unk,586,20,20,20,10,10,0,20,0,0
Al16.7Co16.7Cr25Cu8.3Fe16.7Ni16.7,unk,601,16.7,16.7,25,8.3,16.7,0,16.7,0,0
Al15.4Co30.8Cr15.4Cu7.7Fe15.4Ni15.4,unk,295,15.4,30.8,15.4,7.7,15.4,0,15.4,0,0
Al22.2Co22.2Cu11.1Fe22.2Ni22.2,unk,584,22.2,22.2,0,11.1,22.2,0,22.2,0,0
Al15.4Co15.4Cr15.4Cu7.7Fe15.4Ni30.8,unk,310,15.4,15.4,15.4,7.7,15.4,0,30.8,0,0
Al16.7Co25Cr16.7Cu8.3Fe16.7Ni16.7,unk,451,16.7,25,16.7,8.3,16.7,0,16.7,0,0
Al20Co20Cr10Cu10Fe20Ni20,unk,546,20,20,10,10,20,0,20,0,0
Al15.4Co15.4Cr30.8Cu7.7Fe15.4Ni15.4,unk,607,15.4,15.4,30.8,7.7,15.4,0,15.4,0,0
Al16.7Co16.7Cr16.7Cu8.3Fe25Ni16.7,unk,537,16.7,16.7,16.7,8.3,25,0,16.7,0,0
Al15.4Co15.4Cr15.4Cu7.7Fe30.8Ni15.4,unk,514,15.4,15.4,15.4,7.7,30.8,0,15.4,0,0
Al20Co20Cr20Cu10Fe20Ni10,unk,604,20,20,20,10,20,0,10,0,0
Al22.2Co22.2Cr22.2Cu11.1Fe22.2,unk,639,22.2,22.2,22.2,11.1,22.2,0,0,0,0
Al22.2Cr22.2Cu11.1Fe22.2Ni22.2,unk,534,22.2,0,22.2,11.1,22.2,0,22.2,0,0
Al30.8Co15.4Cr15.4Cu7.7Fe15.4Ni15.4,unk,609,30.8,15.4,15.4,7.7,15.4,0,15.4,0,0
Al20Co10Cr20Cu10Fe20Ni20,unk,551,20,10,20,10,20,0,20,0,0
Al11.1Cr22.2Cu22.2Fe22.2Ni22.2,unk,382,11.1,0,22.2,22.2,22.2,0,22.2,0,0
Al27.3Cr18.2Cu18.2Fe18.2Ni18.2,unk,573,27.3,0,18.2,18.2,18.2,0,18.2,0,0
Al33.3Cr16.7Cu16.7Fe16.7Ni16.7,unk,651,33.3,0,16.7,16.7,16.7,0,16.7,0,0
Al7.7Co30.8Fe30.8Ni30.8,unk,135,7.7,30.8,0,0,30.8,0,30.8,0,0
Al14.3Co28.6Fe28.6Ni28.6,unk,205,14.3,28.6,0,0,28.6,0,28.6,0,0
Al20Co26.7Fe26.7Ni26.7,unk,380,20,26.7,0,0,26.7,0,26.7,0,0
Al8Co17Cr17Cu8Fe17Ni33,unk,280,8,17,17,8,17,0,33,0,0
Al23Co15Cr23Cu8Fe15Ni16,unk,580,23,15,23,8,15,0,16,0,0
Al16.7Cr55.6Ni27.8,unk,371,16.7,0,55.6,0,0,0,27.8,0,0
Al11.8Cr29.4Fe44.1Ni14.7,unk,450,11.8,0,29.4,0,44.1,0,14.7,0,0
Al6.3Cr31.3Fe46.9Ni15.6,unk,304,6.3,0,31.3,0,46.9,0,15.6,0,0
Al38.5Co15.4Cr15.4Fe15.4Ni15.4,unk,695,38.5,15.4,15.4,0,15.4,0,15.4,0,0
Al42.9Co14.3Cr14.3Fe14.3Ni14.3,unk,740,42.9,14.3,14.3,0,14.3,0,14.3,0,0
Al9.1Co18.2Cr18.2Cu18.2Fe18.2Ni18.2,unk,207,9.1,18.2,18.2,18.2,18.2,0,18.2,0,0
Al28.6Co14.3Cr14.3Cu14.3Fe14.3Ni14.3,unk,576,28.6,14.3,14.3,14.3,14.3,0,14.3,0,0
Al20Co20Cr20Cu20Ni20,unk,415,20,20,20,20,0,0,20,0,0
Al25Co16.7Cr16.7Cu8.3Fe16.7Ni16.7,unk,602,25,16.7,16.7,8.3,16.7,0,16.7,0,0
Co20Cr20Cu20Fe20Ni20,unk,155,0,20,20,20,20,0,20,0,0
Co25Cr25Fe25Ni25,unk,139,0,25,25,0,25,0,25,0,0
Al25Co25Fe25Ni25,unk,430,25,25,0,0,25,0,25,0,0
Al20Co20Cr20Fe20Ni20,unk,516,20,20,20,0,20,0,20,0,0
Al43Co6Cr33Cu6Fe6Ni6,unk,764,43,6,33,6,6,0,6,0,0
Al42.9Co14.3Cr7.1Cu7.1Fe7.1Ni21.4,unk,591,42.9,14.3,7.1,7.1,7.1,0,21.4,0,0
Al42.9Co21.4Cr7.1Cu7.1Fe7.1Ni14.3,unk,701,42.9,21.4,7.1,7.1,7.1,0,14.3,0,0
Al40Co13.3Cr6.7Cu13.3Fe20Ni6.7,unk,768,40,13.3,6.7,13.3,20,0,6.7,0,0
Al46.2Co15.4Cr7.7Cu7.7Fe15.4Ni7.7,unk,702,46.2,15.4,7.7,7.7,15.4,0,7.7,0,0
Al42.9Co14.3Cr14.3Cu7.1Fe7.1Ni14.3,unk,720,42.9,14.3,14.3,7.1,7.1,0,14.3,0,0
Al42.9Co7.1Cr14.3Cu7.1Fe14.3Ni14.3,unk,694,42.9,7.1,14.3,7.1,14.3,0,14.3,0,0
Al7Cr23.3Fe23.3Ni46.5,unk,149,7,0,23.3,0,23.3,0,46.5,0,0
Al11.1Cr22.2Fe22.2Ni44.4,unk,229,11.1,0,22.2,0,22.2,0,44.4,0,0
Al13Cr28Cu22Fe6Ni31,unk,459,13,0,28,22,6,0,31,0,0
Al12Cr31Cu21Fe5Ni31,unk,469,12,0,31,21,5,0,31,0,0
Al12Cr31Cu20Fe5Ni32,unk,483,12,0,31,20,5,0,32,0,0
Al10Cr35Cu25Fe5Ni25,unk,472,10,0,35,25,5,0,25,0,0
Al10Cr35Cu26Fe5Ni24,unk,454,10,0,35,26,5,0,24,0,0
Al10Cr35Cu24Fe5Ni26,unk,441,10,0,35,24,5,0,26,0,0
Al11Cr29Cu29Fe5Ni26,unk,495,11,0,29,29,5,0,26,0,0
Al11Cr28Cu29Fe7Ni25,unk,477,11,0,28,29,7,0,25,0,0
Al11Cr28Cu27Fe6Ni28,unk,469,11,0,28,27,6,0,28,0,0
Al34Co17Cr34Fe5Ni10,unk,699,34,17,34,0,5,0,10,0,0
Al47Co14Cr15Cu5Fe13Ni6,unk,728,47,14,15,5,13,0,6,0,0
Al38Co11Cr6Cu9Fe31Ni5,unk,604,38,11,6,9,31,0,5,0,0
Al36Co10Cr31Cu6Fe9Ni8,unk,790,36,10,31,6,9,0,8,0,0
Al43Co17Cr15Fe14Ni11,unk,806,43,17,15,0,14,0,11,0,0
Al47Co12Cr12Cu5Fe13Ni11,unk,811,47,12,12,5,13,0,11,0,0
Al43Co19Cr19Fe11Ni8,unk,855,43,19,19,0,11,0,8,0,0
Al39Co10Cr31Cu5Fe8Ni7,unk,802,39,10,31,5,8,0,7,0,0
Al47Co13Cr13Cu5Fe12Ni10,unk,799,47,13,13,5,12,0,10,0,0
Al43Co20Cr22Fe8Ni7,unk,857,43,20,22,0,8,0,7,0,0
Al47Co14Cr19Cu5Fe10Ni5,unk,855,47,14,19,5,10,0,5,0,0
Al43Co20Cr19Fe9Ni9,unk,816,43,20,19,0,9,0,9,0,0
Al46Co14Cr23Cu5Fe7Ni5,unk,811,46,14,23,5,7,0,5,0,0
Al44Co14Cr22Cu5Fe9Ni6,unk,790,44,14,22,5,9,0,6,0,0
Al43Co19Cr24Fe8Ni6,unk,855,43,19,24,0,8,0,6,0,0
Al43Co18Cr24Fe10Ni5,unk,856,43,18,24,0,10,0,5,0,0
Al47Co14Cr20Cu5Fe9Ni5,unk,859,47,14,20,5,9,0,5,0,0
Al43Co24Cr22Fe5Ni6,unk,875,43,24,22,0,5,0,6,0,0
Al43Co24Cr23Fe5Ni5,unk,868,43,24,23,0,5,0,5,0,0
Al47Co12Cr20Cu5Fe11Ni5,unk,843,47,12,20,5,11,0,5,0,0
Al43Co15Cr17Cu5Fe14Ni6,unk,794,43,15,17,5,14,0,6,0,0
Al42Co10Cr30Cu5Fe7Ni6,unk,783,42,10,30,5,7,0,6,0,0
Al47Co11Cr22Cu5Fe10Ni5,unk,797,47,11,22,5,10,0,5,0,0
Al47Co13Cr20Cu5Fe10Ni5,unk,805,47,13,20,5,10,0,5,0,0
Al29Co22Cr34Fe5Ni10,unk,699,29,22,34,0,5,0,10,0,0
Al47Co7Cr16Cu9Fe16Ni5,unk,749,47,7,16,9,16,0,5,0,0
Al43Co14Cr21Cu5Fe12Ni5,unk,828,43,14,21,5,12,0,5,0,0
Al47Co18Cr15Cu5Fe10Ni5,unk,849,47,18,15,5,10,0,5,0,0
Al47Co20Cr18Cu5Fe5Ni5,unk,883,47,20,18,5,5,0,5,0,0
Al43Co18Cr20Fe12Ni7,unk,864,43,18,20,0,12,0,7,0,0
Al47Co17Cr16Cu5Fe10Ni5,unk,841,47,17,16,5,10,0,5,0,0
Al43Co24Cr23Fe5Ni5,unk,868,43,24,23,0,5,0,5,0,0
Al43Co22Cr22Fe8Ni5,unk,882,43,22,22,0,8,0,5,0,0
Al43Co22Cr23Fe7Ni5,unk,883,43,22,23,0,7,0,5,0,0
Al43Co20Cr21Fe9Ni7,unk,828,43,20,21,0,9,0,7,0,0
Al43Co22Cr25Fe5Ni5,unk,848,43,22,25,0,5,0,5,0,0
Al47Co19Cr19Cu5Fe5Ni5,unk,878,47,19,19,5,5,0,5,0,0
Al43Co29Cr18Fe5Ni5,unk,782,43,29,18,0,5,0,5,0,0
Al43Co25Cr22Fe5Ni5,unk,865,43,25,22,0,5,0,5,0,0
